id,label
"Friday-Assault With Deadly Weapon, Aggravated Assault","Friday-Assault With Deadly Weapon, Aggravated Assault"
Friday-Child Annoying (17Yrs & Under),Friday-Child Annoying (17Yrs & Under)
Sunday-Contempt Of Court,Sunday-Contempt Of Court
Tuesday-Oral Copulation,Tuesday-Oral Copulation
"Monday-Sex, Unlawful","Monday-Sex, Unlawful"
Saturday-Assault With Deadly Weapon On Police Officer,Saturday-Assault With Deadly Weapon On Police Officer
Friday-Shoplifting - Petty Theft ($950 & Under),Friday-Shoplifting - Petty Theft ($950 & Under)
"Tuesday-Assault With Deadly Weapon, Aggravated Assault","Tuesday-Assault With Deadly Weapon, Aggravated Assault"
Tuesday-Disturbing The Peace,Tuesday-Disturbing The Peace
"Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Friday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Sunday-Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,Sunday-Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02
Sunday-Vehicle - Stolen,Sunday-Vehicle - Stolen
Friday-Reckless Driving,Friday-Reckless Driving
Thursday-Vandalism - Misdeameanor ($399 Or Under),Thursday-Vandalism - Misdeameanor ($399 Or Under)
"Sunday-Bunco, Attempt","Sunday-Bunco, Attempt"
Monday-Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02,Monday-Sodomy/Sexual Contact B/W Penis Of One Pers To Anus Oth 0007=02
Saturday-Attempted Robbery,Saturday-Attempted Robbery
Thursday-Intimate Partner - Aggravated Assault,Thursday-Intimate Partner - Aggravated Assault
Thursday-Battery With Sexual Contact,Thursday-Battery With Sexual Contact
Wednesday-Driving Without Owner Consent (Dwoc),Wednesday-Driving Without Owner Consent (Dwoc)
"Saturday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Saturday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
Saturday-Violation Of Restraining Order,Saturday-Violation Of Restraining Order
Thursday-Indecent Exposure,Thursday-Indecent Exposure
Tuesday-Lewd Conduct,Tuesday-Lewd Conduct
Saturday-Other Assault,Saturday-Other Assault
Friday-Violation Of Temporary Restraining Order,Friday-Violation Of Temporary Restraining Order
"Wednesday-Embezzlement, Grand Theft ($950.01 & Over)","Wednesday-Embezzlement, Grand Theft ($950.01 & Over)"
Sunday-Trespassing,Sunday-Trespassing
Friday-Theft Plain - Petty ($950 & Under),Friday-Theft Plain - Petty ($950 & Under)
"Thursday-Credit Cards, Fraud Use ($950 & Under","Thursday-Credit Cards, Fraud Use ($950 & Under"
Monday-Theft From Motor Vehicle - Petty ($950 & Under),Monday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-Pickpocket,Friday-Pickpocket
Wednesday-Threatening Phone Calls/Letters,Wednesday-Threatening Phone Calls/Letters
Monday-Theft From Motor Vehicle - Grand ($400 And Over),Monday-Theft From Motor Vehicle - Grand ($400 And Over)
Saturday-Shots Fired At Inhabited Dwelling,Saturday-Shots Fired At Inhabited Dwelling
Wednesday-Criminal Threats - No Weapon Displayed,Wednesday-Criminal Threats - No Weapon Displayed
Wednesday-Counterfeit,Wednesday-Counterfeit
Tuesday-Theft Of Identity,Tuesday-Theft Of Identity
Monday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Monday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Monday-Oral Copulation,Monday-Oral Copulation
Sunday-Oral Copulation,Sunday-Oral Copulation
Friday-Theft From Motor Vehicle - Grand ($400 And Over),Friday-Theft From Motor Vehicle - Grand ($400 And Over)
Friday-Throwing Object At Moving Vehicle,Friday-Throwing Object At Moving Vehicle
"Tuesday-Embezzlement, Grand Theft ($950.01 & Over)","Tuesday-Embezzlement, Grand Theft ($950.01 & Over)"
"Sunday-Burglary From Vehicle, Attempted","Sunday-Burglary From Vehicle, Attempted"
Wednesday-Shoplifting-Grand Theft ($950.01 & Over),Wednesday-Shoplifting-Grand Theft ($950.01 & Over)
Sunday-Burglary From Vehicle,Sunday-Burglary From Vehicle
Monday-Discharge Firearms/Shots Fired,Monday-Discharge Firearms/Shots Fired
"Monday-Bunco, Grand Theft","Monday-Bunco, Grand Theft"
Wednesday-Vehicle - Attempt Stolen,Wednesday-Vehicle - Attempt Stolen
Monday-Burglary,Monday-Burglary
Monday-Burglary From Vehicle,Monday-Burglary From Vehicle
Tuesday-Criminal Threats - No Weapon Displayed,Tuesday-Criminal Threats - No Weapon Displayed
"Friday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Friday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Monday-Credit Cards, Fraud Use ($950.01 & Over)","Monday-Credit Cards, Fraud Use ($950.01 & Over)"
Friday-Violation Of Restraining Order,Friday-Violation Of Restraining Order
Sunday-False Imprisonment,Sunday-False Imprisonment
Wednesday-Peeping Tom,Wednesday-Peeping Tom
Saturday-Contempt Of Court,Saturday-Contempt Of Court
Wednesday-Discharge Firearms/Shots Fired,Wednesday-Discharge Firearms/Shots Fired
Thursday-Theft From Motor Vehicle - Petty ($950 & Under),Thursday-Theft From Motor Vehicle - Petty ($950 & Under)
Saturday-Robbery,Saturday-Robbery
Friday-Burglary From Vehicle,Friday-Burglary From Vehicle
Sunday-Battery Police (Simple),Sunday-Battery Police (Simple)
Monday-Battery On A Firefighter,Monday-Battery On A Firefighter
"Monday-Assault With Deadly Weapon, Aggravated Assault","Monday-Assault With Deadly Weapon, Aggravated Assault"
"Thursday-Embezzlement, Petty Theft ($950 & Under)","Thursday-Embezzlement, Petty Theft ($950 & Under)"
Friday-Cruelty To Animals,Friday-Cruelty To Animals
Friday-Oral Copulation,Friday-Oral Copulation
"Monday-Defrauding Innkeeper/Theft Of Services, $400 & Under","Monday-Defrauding Innkeeper/Theft Of Services, $400 & Under"
Sunday-Threatening Phone Calls/Letters,Sunday-Threatening Phone Calls/Letters
Tuesday-Violation Of Restraining Order,Tuesday-Violation Of Restraining Order
Sunday-Child Annoying (17Yrs & Under),Sunday-Child Annoying (17Yrs & Under)
Sunday-Other Assault,Sunday-Other Assault
Friday-Vehicle - Stolen,Friday-Vehicle - Stolen
Sunday-Criminal Threats - No Weapon Displayed,Sunday-Criminal Threats - No Weapon Displayed
Thursday-Child Abuse (Physical) - Simple Assault,Thursday-Child Abuse (Physical) - Simple Assault
"Tuesday-Rape, Forcible","Tuesday-Rape, Forcible"
Saturday-Resisting Arrest,Saturday-Resisting Arrest
Monday-Criminal Homicide,Monday-Criminal Homicide
Sunday-Theft From Motor Vehicle - Petty ($950 & Under),Sunday-Theft From Motor Vehicle - Petty ($950 & Under)
Friday-False Police Report,Friday-False Police Report
Wednesday-Theft From Motor Vehicle - Attempt,Wednesday-Theft From Motor Vehicle - Attempt
Sunday-Violation Of Restraining Order,Sunday-Violation Of Restraining Order
Monday-Driving Without Owner Consent (Dwoc),Monday-Driving Without Owner Consent (Dwoc)
Monday-Other Miscellaneous Crime,Monday-Other Miscellaneous Crime
Tuesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Tuesday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Saturday-Kidnapping,Saturday-Kidnapping
Monday-Shoplifting - Attempt,Monday-Shoplifting - Attempt
Saturday-Unknown,Saturday-Unknown
Tuesday-Theft From Motor Vehicle - Petty ($950 & Under),Tuesday-Theft From Motor Vehicle - Petty ($950 & Under)
Thursday-Oral Copulation,Thursday-Oral Copulation
Saturday-Counterfeit,Saturday-Counterfeit
Wednesday-Unauthorized Computer Access,Wednesday-Unauthorized Computer Access
Saturday-Theft Of Identity,Saturday-Theft Of Identity
Sunday-Boat - Stolen,Sunday-Boat - Stolen
Thursday-Bike - Stolen,Thursday-Bike - Stolen
Tuesday-Child Abuse (Physical) - Simple Assault,Tuesday-Child Abuse (Physical) - Simple Assault
"Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Thursday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
"Thursday-Assault With Deadly Weapon, Aggravated Assault","Thursday-Assault With Deadly Weapon, Aggravated Assault"
"Sunday-Embezzlement, Petty Theft ($950 & Under)","Sunday-Embezzlement, Petty Theft ($950 & Under)"
Monday-Kidnapping,Monday-Kidnapping
"Tuesday-Sex, Unlawful","Tuesday-Sex, Unlawful"
Thursday-Criminal Threats - No Weapon Displayed,Thursday-Criminal Threats - No Weapon Displayed
Tuesday-Driving Without Owner Consent (Dwoc),Tuesday-Driving Without Owner Consent (Dwoc)
Sunday-Assault With Deadly Weapon On Police Officer,Sunday-Assault With Deadly Weapon On Police Officer
Tuesday-Peeping Tom,Tuesday-Peeping Tom
Friday-Purse Snatching,Friday-Purse Snatching
Wednesday-Vandalism - Misdeameanor ($399 Or Under),Wednesday-Vandalism - Misdeameanor ($399 Or Under)
Thursday-Violation Of Court Order,Thursday-Violation Of Court Order
Thursday-Stalking,Thursday-Stalking
"Monday-Bunco, Petty Theft","Monday-Bunco, Petty Theft"
Monday-Child Neglect (See 300 W.I.C.),Monday-Child Neglect (See 300 W.I.C.)
Thursday-Discharge Firearms/Shots Fired,Thursday-Discharge Firearms/Shots Fired
"Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114","Monday-Vandalism - Felony ($400 & Over, All Church Vandalisms) 0114"
Tuesday-Failure To Yield,Tuesday-Failure To Yield
Wednesday-Brandish Weapon,Wednesday-Brandish Weapon
Tuesday-Battery - Simple Assault,Tuesday-Battery - Simple Assault
Wednesday-Intimate Partner - Aggravated Assault,Wednesday-Intimate Partner - Aggravated Assault
"Saturday-Theft, Person","Saturday-Theft, Person"
Tuesday-Intimate Partner - Simple Assault,Tuesday-Intimate Partner - Simple Assault
Thursday-Burglary From Vehicle,Thursday-Burglary From Vehicle
Sunday-Unknown,Sunday-Unknown
Monday-Shoplifting-Grand Theft ($950.01 & Over),Monday-Shoplifting-Grand Theft ($950.01 & Over)
Thursday-Attempted Robbery,Thursday-Attempted Robbery
Sunday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Sunday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Tuesday-Unknown,Tuesday-Unknown
Monday-Throwing Object At Moving Vehicle,Monday-Throwing Object At Moving Vehicle
Monday-Battery With Sexual Contact,Monday-Battery With Sexual Contact
Wednesday-Resisting Arrest,Wednesday-Resisting Arrest
Friday-Stalking,Friday-Stalking
Wednesday-Lynching,Wednesday-Lynching
Thursday-Shoplifting-Grand Theft ($950.01 & Over),Thursday-Shoplifting-Grand Theft ($950.01 & Over)
Tuesday-Theft Plain - Attempt,Tuesday-Theft Plain - Attempt
"Tuesday-Pickpocket, Attempt","Tuesday-Pickpocket, Attempt"
Monday-Violation Of Court Order,Monday-Violation Of Court Order
Thursday-Prowler,Thursday-Prowler
Sunday-Child Abuse (Physical) - Aggravated Assault,Sunday-Child Abuse (Physical) - Aggravated Assault
Saturday-Indecent Exposure,Saturday-Indecent Exposure
Tuesday-Violation Of Temporary Restraining Order,Tuesday-Violation Of Temporary Restraining Order
Sunday-Shoplifting - Petty Theft ($950 & Under),Sunday-Shoplifting - Petty Theft ($950 & Under)
Thursday-Driving Without Owner Consent (Dwoc),Thursday-Driving Without Owner Consent (Dwoc)
Wednesday-Burglary From Vehicle,Wednesday-Burglary From Vehicle
Tuesday-Other Assault,Tuesday-Other Assault
Sunday-Intimate Partner - Aggravated Assault,Sunday-Intimate Partner - Aggravated Assault
Friday-Bike - Stolen,Friday-Bike - Stolen
"Thursday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036","Thursday-Theft-Grand ($950.01 & Over)Excpt,Guns,Fowl,Livestk,Prod0036"
Saturday-Theft From Motor Vehicle - Grand ($400 And Over),Saturday-Theft From Motor Vehicle - Grand ($400 And Over)
Monday-Child Abuse (Physical) - Simple Assault,Monday-Child Abuse (Physical) - Simple Assault
Saturday-Theft Plain - Petty ($950 & Under),Saturday-Theft Plain - Petty ($950 & Under)
Friday-Discharge Firearms/Shots Fired,Friday-Discharge Firearms/Shots Fired
Sunday-Extortion,Sunday-Extortion
Thursday-Disturbing The Peace,Thursday-Disturbing The Peace
Saturday-Theft From Motor Vehicle - Attempt,Saturday-Theft From Motor Vehicle - Attempt
Saturday-Threatening Phone Calls/Letters,Saturday-Threatening Phone Calls/Letters
Friday-Battery - Simple Assault,Friday-Battery - Simple Assault
Thursday-Vehicle - Stolen,Thursday-Vehicle - Stolen
Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060,Saturday-Crm Agnst Chld (13 Or Under) (14-15 & Susp 10 Yrs Older)0060
Saturday-Criminal Threats - No Weapon Displayed,Saturday-Criminal Threats - No Weapon Displayed
Sunday-Theft Of Identity,Sunday-Theft Of Identity
Tuesday-False Imprisonment,Tuesday-False Imprisonment
Saturday-Battery - Simple Assault,Saturday-Battery - Simple Assault
Sunday-Vehicle - Attempt Stolen,Sunday-Vehicle - Attempt Stolen
"Friday-Burglary, Attempted","Friday-Burglary, Attempted"
Friday-Violation Of Court Order,Friday-Violation Of Court Order
"Sunday-Embezzlement, Grand Theft ($950.01 & Over)","Sunday-Embezzlement, Grand Theft ($950.01 & Over)"
Thursday-Extortion,Thursday-Extortion
"Friday-Burglary From Vehicle, Attempted","Friday-Burglary From Vehicle, Attempted"
Monday-Threatening Phone Calls/Letters,Monday-Threatening Phone Calls/Letters
Saturday-Disturbing The Peace,Saturday-Disturbing The Peace
Sunday-Burglary,Sunday-Burglary
"Saturday-Bunco, Petty Theft","Saturday-Bunco, Petty Theft"
Sunday-False Police Report,Sunday-False Police Report
Sunday-Theft From Motor Vehicle - Attempt,Sunday-Theft From Motor Vehicle - Attempt
Sunday-Battery - Simple Assault,Sunday-Battery - Simple Assault
Tuesday-Child Abuse (Physical) - Aggravated Assault,Tuesday-Child Abuse (Physical) - Aggravated Assault
"Friday-Sex, Unlawful","Friday-Sex, Unlawful"
